,A.1_DikeIncrease,A.2_DikeIncrease,A.3_DikeIncrease,A.4_DikeIncrease,A.5_DikeIncrease,0_RfR,1_RfR,2_RfR,3_RfR,4_RfR,EWS_DaysToThreat,frac_Expected Number of Deaths(1/3),frac_Expected Number of Deaths(2/5),frac_Expected Number of Deaths(4),frac_Dike Investment Costs(1/3),frac_Dike Investment Costs(2/5),frac_Dike Investment Costs(4),frac_RfR Total Costs,frac_Expected Evacuation Costs
0,2,3,0,6,4,0,0,0,0,0,4,0.1,0.95,0.95,1.0,0.0,0.0,1.0,1.0
1,6,4,10,10,4,0,1,0,0,0,4,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
2,5,9,6,0,9,0,0,0,0,0,0,0.85,1.0,0.05,0.0,0.0,1.0,1.0,1.0
3,6,1,8,0,0,1,1,1,1,0,3,1.0,0.75,0.6,0.0,1.0,1.0,0.0,1.0
4,0,4,9,3,4,1,1,1,1,1,3,0.95,1.0,0.95,1.0,0.0,0.0,0.0,1.0
5,1,0,5,7,3,1,0,0,0,0,2,0.75,0.6,1.0,0.0,1.0,0.0,1.0,1.0
6,1,6,7,0,3,1,0,0,0,0,2,0.85,0.9,0.45,0.0,0.0,1.0,1.0,1.0
7,0,9,4,7,5,1,0,0,1,1,2,0.7,1.0,1.0,1.0,0.0,0.0,0.0,1.0
8,9,4,9,10,3,1,0,0,0,0,2,1.0,0.9,1.0,0.0,0.0,0.0,1.0,1.0
9,5,0,2,5,7,0,0,1,0,0,4,0.75,0.8,0.95,0.0,1.0,0.0,1.0,1.0
10,6,0,6,10,7,1,1,0,1,1,3,1.0,0.8,1.0,0.0,1.0,0.0,0.0,1.0
11,6,5,9,0,5,1,0,1,1,1,3,1.0,1.0,0.7,0.0,0.0,1.0,0.0,1.0
12,0,3,9,10,3,0,0,0,0,0,4,0.45,0.85,1.0,1.0,0.0,0.0,1.0,1.0
13,9,0,7,10,0,1,0,0,0,0,4,1.0,0.4,1.0,0.0,1.0,0.0,1.0,1.0
14,3,7,8,7,6,1,0,0,0,0,3,0.95,1.0,1.0,0.0,0.0,0.0,1.0,1.0
15,6,0,4,6,7,0,0,0,0,0,3,0.85,0.75,0.95,0.0,1.0,0.0,1.0,1.0
16,10,0,3,0,5,0,1,0,1,1,2,0.8,0.75,0.65,0.0,1.0,1.0,0.0,1.0
