,A.1_DikeIncrease,A.2_DikeIncrease,A.3_DikeIncrease,A.4_DikeIncrease,A.5_DikeIncrease,0_RfR,1_RfR,2_RfR,3_RfR,4_RfR,EWS_DaysToThreat,frac_Expected Number of Deaths(1/3),frac_Expected Number of Deaths(2/5),frac_Expected Number of Deaths(4),frac_Dike Investment Costs(1/3),frac_Dike Investment Costs(2/5),frac_Dike Investment Costs(4),frac_RfR Total Costs,frac_Expected Evacuation Costs
0,5,0,10,6,6,1,1,1,1,1,3,1.0,0.85,1.0,0.0,1.0,0.0,0.0,1.0
1,6,7,7,7,7,1,0,0,0,0,2,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
2,0,9,7,6,7,1,1,0,0,0,4,0.9,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3,9,6,6,0,7,1,0,0,0,0,3,1.0,1.0,0.45,0.0,0.0,1.0,1.0,1.0
4,9,7,9,0,6,0,0,0,1,1,4,1.0,1.0,0.7,0.0,0.0,1.0,0.0,1.0
5,0,9,7,6,5,1,0,0,0,0,3,0.8,1.0,1.0,1.0,0.0,0.0,1.0,1.0
6,0,0,10,6,7,0,0,1,0,0,3,0.5,0.8,1.0,1.0,1.0,0.0,1.0,1.0
7,7,0,9,10,6,0,0,1,0,0,3,1.0,0.8,1.0,0.0,1.0,0.0,1.0,1.0
8,6,0,5,0,5,0,0,1,0,0,3,1.0,0.8,0.45,0.0,1.0,1.0,1.0,1.0
9,0,5,7,0,7,1,1,1,1,0,4,0.9,1.0,0.6,1.0,0.0,1.0,0.0,1.0
10,0,2,9,0,1,0,0,0,1,1,4,0.5,0.8,0.7,1.0,0.0,1.0,0.0,1.0
11,0,7,1,0,4,0,0,0,0,0,3,0.25,0.95,0.45,1.0,0.0,1.0,1.0,1.0
12,0,0,9,8,5,1,0,0,0,0,3,0.8,0.65,1.0,1.0,1.0,0.0,1.0,1.0
13,0,0,8,7,4,1,1,1,1,1,4,0.9,0.85,1.0,1.0,1.0,0.0,0.0,1.0
14,0,5,0,0,2,0,0,1,1,1,4,0.3,0.95,0.7,1.0,0.0,1.0,0.0,1.0
15,0,0,4,0,4,0,1,1,1,0,4,0.75,0.85,0.6,1.0,1.0,1.0,0.0,1.0
16,3,0,8,0,5,1,0,1,1,1,3,1.0,0.85,0.7,0.0,1.0,1.0,0.0,1.0
