,A.1_DikeIncrease,A.2_DikeIncrease,A.3_DikeIncrease,A.4_DikeIncrease,A.5_DikeIncrease,0_RfR,1_RfR,2_RfR,3_RfR,4_RfR,EWS_DaysToThreat,frac_Expected Number of Deaths(1/3),frac_Expected Number of Deaths(2/5),frac_Expected Number of Deaths(4),frac_Dike Investment Costs(1/3),frac_Dike Investment Costs(2/5),frac_Dike Investment Costs(4),frac_RfR Total Costs,frac_Expected Evacuation Costs
0,2,7,9,7,8,0,0,0,0,1,2,0.65,0.85,0.95,1.0,0.0,0.0,1.0,1.0
1,1,10,5,10,1,1,1,1,0,0,4,0.7,0.15,1.0,1.0,0.0,0.0,1.0,1.0
2,4,5,6,8,8,1,1,0,1,0,1,0.85,0.8,0.95,1.0,0.0,0.0,1.0,1.0
3,8,3,6,10,3,0,0,1,1,1,2,0.85,0.35,1.0,0.0,1.0,0.0,1.0,1.0
4,7,1,9,10,3,1,1,0,1,1,2,1.0,0.05,1.0,0.0,1.0,0.0,0.0,1.0
5,0,4,6,2,0,1,1,1,0,0,2,0.7,0.05,0.3,1.0,1.0,1.0,1.0,1.0
6,4,1,4,2,3,0,0,1,1,1,4,0.65,0.15,0.55,1.0,1.0,1.0,1.0,1.0
7,9,5,0,9,6,0,0,1,1,0,4,0.15,0.75,1.0,1.0,0.0,0.0,1.0,1.0
8,7,8,9,8,10,1,1,1,1,0,4,1.0,1.0,0.95,0.0,0.0,0.0,1.0,1.0
9,7,6,0,2,9,1,1,1,1,1,3,0.2,0.9,0.55,1.0,0.0,1.0,0.0,1.0
10,5,0,9,7,2,1,1,1,0,0,1,0.95,0.0,0.95,0.0,1.0,0.0,1.0,1.0
11,7,7,10,10,9,0,0,1,0,1,0,0.95,0.9,1.0,0.0,0.0,0.0,1.0,1.0
12,1,4,7,9,10,0,0,0,1,0,0,0.45,0.7,1.0,1.0,0.0,0.0,1.0,1.0
13,1,7,0,6,8,1,1,0,1,1,4,0.0,0.9,0.95,1.0,0.0,0.0,0.0,1.0
14,2,8,6,1,9,0,1,1,0,0,0,0.7,1.0,0.15,1.0,0.0,1.0,1.0,1.0
15,7,4,7,4,1,1,1,0,1,0,1,0.9,0.2,0.7,0.0,1.0,0.0,1.0,1.0
16,5,9,3,10,2,0,0,0,1,0,4,0.5,0.4,1.0,1.0,0.0,0.0,1.0,1.0
17,5,5,7,2,1,1,1,1,0,1,2,0.9,0.1,0.5,1.0,0.0,1.0,0.0,1.0
18,5,3,5,6,3,0,0,1,1,1,3,0.85,0.35,0.95,1.0,1.0,0.0,1.0,1.0
19,7,8,8,2,7,0,0,0,1,1,2,0.9,0.9,0.55,0.0,0.0,1.0,1.0,1.0
20,1,9,7,6,8,1,1,0,1,0,4,0.8,1.0,0.9,1.0,0.0,0.0,1.0,1.0
21,5,9,6,1,5,1,0,1,1,0,0,0.85,0.85,0.25,1.0,0.0,1.0,1.0,1.0
22,5,8,6,3,10,0,0,0,1,1,4,0.85,0.95,0.7,1.0,0.0,0.0,1.0,1.0
23,9,1,6,2,5,1,0,1,1,0,3,0.9,0.25,0.5,0.0,1.0,1.0,1.0,1.0
24,2,2,8,1,4,0,0,1,0,0,4,0.65,0.2,0.15,1.0,1.0,1.0,1.0,1.0
25,2,2,7,2,10,1,0,1,1,0,0,0.8,0.5,0.5,1.0,0.0,1.0,1.0,1.0
26,7,10,9,2,7,1,0,1,0,1,3,1.0,0.9,0.5,0.0,0.0,1.0,1.0,1.0
27,1,7,0,9,7,0,0,0,1,1,4,0.0,0.85,1.0,1.0,0.0,0.0,1.0,1.0
28,1,4,7,2,7,1,0,0,1,1,3,0.7,0.7,0.55,1.0,0.0,1.0,1.0,1.0
29,4,4,8,3,9,0,1,1,1,0,3,0.95,0.8,0.65,1.0,0.0,0.0,1.0,1.0
30,2,3,9,7,4,1,1,1,0,0,1,0.95,0.3,0.95,1.0,0.0,0.0,1.0,1.0
31,3,2,6,2,8,0,1,1,1,1,4,0.8,0.5,0.55,1.0,0.0,1.0,0.0,1.0
32,1,2,6,9,5,0,0,0,1,0,3,0.45,0.3,1.0,1.0,1.0,0.0,1.0,1.0
