,A.1_DikeIncrease,A.2_DikeIncrease,A.3_DikeIncrease,A.4_DikeIncrease,A.5_DikeIncrease,0_RfR,1_RfR,2_RfR,3_RfR,4_RfR,EWS_DaysToThreat,frac_Expected Number of Deaths(1/3),frac_Expected Number of Deaths(2/5),frac_Expected Number of Deaths(4),frac_Dike Investment Costs(1/3),frac_Dike Investment Costs(2/5),frac_Dike Investment Costs(4),frac_RfR Total Costs,frac_Expected Evacuation Costs
0,8,2,9,7,5,1,0,0,1,0,3,1.0,0.25,0.95,0.0,1.0,0.0,1.0,1.0
1,4,3,7,2,3,1,0,1,1,1,3,0.95,0.35,0.45,1.0,1.0,1.0,1.0,1.0
2,4,2,9,2,5,1,0,0,1,1,1,1.0,0.25,0.45,1.0,1.0,1.0,1.0,1.0
3,3,2,10,5,4,1,1,1,1,1,1,1.0,0.35,0.85,1.0,1.0,0.0,0.0,1.0
4,4,9,8,2,9,1,0,1,1,1,0,1.0,1.0,0.45,1.0,0.0,1.0,1.0,1.0
5,4,2,10,10,5,1,1,1,1,1,3,1.0,0.4,1.0,0.0,1.0,0.0,0.0,1.0
6,4,2,7,9,5,1,0,1,1,0,3,0.95,0.4,1.0,1.0,1.0,0.0,1.0,1.0
7,1,2,8,1,5,1,0,1,1,1,0,0.75,0.4,0.3,1.0,1.0,1.0,1.0,1.0
8,4,1,8,5,4,1,1,1,1,0,1,1.0,0.25,0.85,1.0,1.0,0.0,1.0,1.0
9,4,2,10,4,5,1,0,1,1,1,1,1.0,0.4,0.8,0.0,1.0,0.0,1.0,1.0
10,4,1,9,9,5,1,1,1,0,0,1,1.0,0.2,1.0,1.0,1.0,0.0,1.0,1.0
11,6,3,9,6,3,0,0,1,1,1,3,1.0,0.35,0.9,0.0,1.0,0.0,1.0,1.0
12,3,2,10,2,5,1,1,1,1,1,2,1.0,0.4,0.45,1.0,1.0,1.0,0.0,1.0
13,4,3,10,2,3,1,0,1,1,1,2,1.0,0.35,0.45,0.0,1.0,1.0,1.0,1.0
14,4,10,9,10,10,1,0,0,1,1,3,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
