,A.1_DikeIncrease,A.2_DikeIncrease,A.3_DikeIncrease,A.4_DikeIncrease,A.5_DikeIncrease,0_RfR,1_RfR,2_RfR,3_RfR,4_RfR,EWS_DaysToThreat,Expected Number of Deaths(1/3),Expected Number of Deaths(2/5),Expected Number of Deaths(4),Dike Investment Costs(1/3),Dike Investment Costs(2/5),Dike Investment Costs(4),RfR Total Costs,Expected Evacuation Costs
0,0,0,0,9,0,0,0,0,0,0,1,0.6083454330393254,0.23104939671901165,0.0005554355926601034,0.0,0.0,13409244.381847173,0.0,42919.02986681776
1,6,0,10,3,0,0,0,0,0,0,0,0.0,0.6418038797750323,0.02475436231362238,81228732.23542452,0.0,7642842.87314358,0.0,0.0
2,0,0,0,2,1,0,0,0,0,0,1,0.6083454330393254,0.23104939671901165,0.009336137758787031,0.0,24209939.73055957,6855554.988995028,0.0,45069.31475642071
3,0,7,0,1,0,0,0,1,0,0,0,1.5954273430579846,0.6005021686867998,0.02593371599663065,0.0,57949466.75919872,6111949.7568392595,30700000.0,0.0
4,0,5,0,0,1,1,0,0,0,0,4,0.13221004048500382,0.07701646557300387,0.0031120459195956773,0.0,74432498.0620703,0.0,84600000.0,96974.7739398136
5,0,0,1,0,1,0,0,1,0,0,3,0.19145128116695811,0.07537440833354127,0.0031120459195956773,19628562.840069227,24209939.73055957,0.0,30700000.0,92051.480219176
6,0,1,0,0,4,1,0,0,0,1,0,1.090095785498002,0.6418038797750323,0.022478063385692203,0.0,66161055.02892928,0.0,340700000.0,0.0
7,7,0,6,0,0,0,0,1,0,0,3,0.0043924132083743165,0.07537440833354127,0.0031120459195956773,79523999.52675618,0.0,0.0,30700000.0,52189.60962994874
8,0,0,1,1,0,0,0,1,0,0,0,1.5954273430579846,0.6281200694461772,0.02593371599663065,19628562.840069227,0.0,6111949.7568392595,30700000.0,0.0
9,0,4,0,0,6,0,0,0,0,0,4,0.20278181101310847,0.07701646557300387,0.0031120459195956773,0.0,79568794.34633595,0.0,0.0,108448.03863263733
10,7,5,3,1,0,0,0,0,0,0,1,0.29530410932878276,0.23104939671901165,0.009336137758787031,75735712.77653089,50222558.33151072,6111949.7568392595,0.0,36116.71596348408
11,0,1,3,1,6,0,0,0,0,0,0,1.4160477601461108,0.6418038797750323,0.02593371599663065,21877775.981299564,69902013.71838152,6111949.7568392595,0.0,0.0
12,6,4,1,0,1,0,0,0,0,0,4,0.13129078290516943,0.07701646557300387,0.0031120459195956773,69260219.89526293,70858155.04422945,0.0,0.0,96832.03793113536
13,0,1,1,1,8,0,0,0,0,0,0,1.6898484251092374,0.6150397342919215,0.02593371599663065,19628562.840069227,74022052.86424348,6111949.7568392595,0.0,0.0
